name	repo	status	archived	stars	forks	open_issues	created_at	updated_at	pushed_at	default_branch	last_commit_at	latest_release_tag	latest_release_at	description
shinpr mcp-local-rag	shinpr/mcp-local-rag	ok	false	121	25	2	2025-10-31T11:44:14Z	2026-02-20T00:37:53Z	2026-02-12T12:52:06Z	main	2026-02-12T12:52:03Z	v0.5.5	2026-02-04T22:02:05Z	Local-first RAG server for developers using MCP. Semantic + keyword search for code and technical docs. Fully private, zero setup.
yikizi mcp-local-rag	yikizi/mcp-local-rag	ok	false	0	0	0	2025-11-26T11:16:15Z	2026-01-20T20:34:51Z	2026-01-20T20:34:46Z	main	2026-01-20T20:34:28Z	-	-	Privacy-first local RAG server for Cursor, Claude Code, and Codex — powered by the Model Context Protocol.
chroma-core chroma-mcp	chroma-core/chroma-mcp	ok	false	494	99	20	2025-02-11T00:23:22Z	2026-02-16T08:24:58Z	2025-09-17T20:20:13Z	main	2025-09-17T20:20:13Z	v0.2.6	2025-08-14T15:33:11Z	A Model Context Protocol (MCP) server implementation that provides database capabilities for Chroma
marlian claude-qdrant-mcp	marlian/claude-qdrant-mcp	ok	false	9	3	1	2025-07-25T10:04:16Z	2026-02-19T13:55:32Z	2025-07-30T00:10:04Z	main	2025-07-30T00:10:01Z	-	-	Local-first TypeScript MCP server for Qdrant with client isolation, LM Studio integration, and scalable document workflows.
mhalder qdrant-mcp-server	mhalder/qdrant-mcp-server	ok	false	21	10	4	2025-10-05T16:55:53Z	2026-02-19T17:51:58Z	2026-02-09T01:33:48Z	main	2026-02-09T01:32:29Z	v3.3.1	2026-02-09T01:27:38Z	MCP server for semantic search using local Qdrant vector database and OpenAI embeddings
doITmagic rag-code-mcp	doITmagic/rag-code-mcp	ok	false	20	1	1	2025-11-23T05:38:57Z	2026-02-19T11:27:09Z	2026-02-19T18:16:16Z	main	2026-02-09T06:38:16Z	v1.1.21	2026-02-01T11:39:44Z	Semantic code navigation MCP server using RAG (Retrieval-Augmented Generation). Features multi-language support (Go, PHP, Laravel, Python, HTML), local LLMs (Ollama), and vector search (Qdrant) for IDEs like Cursor, Windsurf, Copilot and Claude.
joinQuantish codebase-rag	joinQuantish/codebase-rag	ok	false	0	0	0	2026-02-14T00:07:05Z	2026-02-14T00:37:23Z	2026-02-14T00:37:19Z	master	2026-02-14T00:37:19Z	-	-	Index any GitHub repo and search it via MCP server. Keyword + semantic + hybrid search over your codebase.
qdrant mcp-server-qdrant	qdrant/mcp-server-qdrant	ok	false	1225	232	41	2024-12-02T12:07:39Z	2026-02-19T10:41:33Z	2026-01-28T20:51:03Z	master	2025-12-10T10:21:54Z	v0.8.1	2025-12-10T10:35:23Z	An official Qdrant Model Context Protocol (MCP) server implementation
er77 code-graph-rag-mcp	er77/code-graph-rag-mcp	ok	false	89	18	0	2025-09-14T08:15:08Z	2026-02-19T09:37:02Z	2025-12-17T21:17:11Z	master	2025-12-17T21:16:45Z	v2.7.15	2025-12-17T12:38:02Z	-
MCP servers memory ref	modelcontextprotocol/servers	ok	false	79000	9573	340	2024-11-19T01:10:17Z	2026-02-20T01:32:47Z	2026-02-19T21:18:07Z	main	2026-02-19T14:36:47Z	2026.1.26	2026-01-27T12:11:26Z	Model Context Protocol Servers
